"id","air_conditioning","amenities","balconies","barrier_free_accessibilty_entr","bike_parking","exterior_fire_escape","fire_alarm","garbage_chutes","heating_type","intercom","laundry_room","locker_or_storage_room","no_of_elevators","parking_type","pets_allowed","prop_management_company_name","property_type","rsn","separate_gas_meters","separate_hydro_meters","separate_water_meters","site_address","sprinkler_system","visitor_parking","ward","window_type","year_built","year_registered","no_of_storeys","emergency_power","non-smoking_building","no_of_units","no_of_accessible_parking_spaces","facilities_available","cooling_room","no_barrier_free_accessible_units","age_build"
10359,"NONE","Outdoor rec facilities","YES","YES","0 indoor parking spots and 10 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4154812,"NO","YES","NO","65  FOREST MANOR RD","YES","PAID","17","DOUBLE PANE",1967,2017,17,"NO","YES",218,8,"Recycling bins","NO",2,"Post 1950"
10360,"NONE","Outdoor pool","YES","NO","0 indoor parking spots and 34 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","SCHICKEDANZ BROS. PROPERTIES","PRIVATE",4154815,"NO","YES","NO","70  CLIPPER RD","YES","FREE","17","DOUBLE PANE",1970,2017,14,"YES","NO",206,10,"Green Bin / Organics","NO",0,"Post 1950"
10361,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4155295,"NO","YES","NO","2651  BLOOR ST W","NO","UNAVAILABLE","03","DOUBLE PANE",1927,2017,4,"NO","YES",34,20,"Green Bin / Organics","NO",0,"Pre 1935"
10362,"NONE",NA,"YES","YES","Not Available","YES","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","YES","FREIMAN INVESTMENTS","PRIVATE",4155309,"NO","YES","NO","22  BURNHAMTHORPE RD","YES","UNAVAILABLE","03","DOUBLE PANE",1959,2017,5,"NO","YES",42,42,"Green Bin / Organics","NO",42,"Post 1950"
10363,"NONE",NA,"NO","NO","12 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4155318,"NO","YES","NO","18  ANGLESEY BLVD","NO","UNAVAILABLE","02","DOUBLE PANE",1943,2017,4,"NO","YES",25,12,"Green Bin / Organics","NO",0,"1935-1950"
10364,"NONE",NA,"NO","NO","Not Available",NA,"YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Surface Parking","YES","GILINDO MARCOCCHIO LIMITED","PRIVATE",4155322,"NO","YES","NO","308  THE KINGSWAY","NO","UNAVAILABLE","02","SINGLE PANE",1952,NA,4,"NO","NO",34,0,"Green Bin / Organics","NO",NA,"Post 1950"
10365,"NONE",NA,"NO","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES","REALSTAR","PRIVATE",4155325,"NO","YES","NO","3  BEXHILL CRT","NO","PAID","02","DOUBLE PANE",1959,2017,4,"NO","NO",14,5,"Unknown","NO",14,"Post 1950"
10366,"CENTRAL AIR","Indoor pool , Indoor recreation room , Indoor exercise room","YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","PRINCESS MANAGEMENT","PRIVATE",4155928,"NO","YES","NO","41  WARRENDER AVE","YES","FREE","02","SINGLE PANE",1971,2017,7,"YES","YES",105,1,"Green Bin / Organics","NO",0,"Post 1950"
10367,"NONE",NA,"YES","YES","0 indoor parking spots and 15 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","NO",4,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4155952,"NO","YES","NO","280  WELLESLEY ST E","YES","PAID","13","DOUBLE PANE",1969,2017,32,"NO","NO",571,1,"Recycling bins","NO",0,"Post 1950"
10368,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",2,"Surface Parking","YES",NA,"TCHC",4155991,"NO","NO","NO","11  ARLETA AVE","YES","BOTH","07","THERMAL",1972,2017,4,"YES","YES",171,6,"Recycling bins","NO",1,"Post 1950"
